KOD_DISC,NAME_DISC,NAME_DIV
"7470","Пропедевтика громадського здоров'я","Кафедра громадського здоров'я"
"7472","Основи організації та управління","Кафедра управління"
"7473","Основи економіки. Мікроекономіка","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7475","Безпека життєдіяльності. Біоетика","Кафедра прикладної екології"
"7476","Основи охорони навколишнього середовища","Кафедра прикладної екології"
"7477","Управлінські інформаційні системи","Кафедра бухгалтерського обліку та оподаткування"
"7478","Комп'ютерне моделювання динамічних систем - КР","Кафедра загальної механіки та динаміки машин"
"7479","Програмування в механіці","Кафедра загальної механіки та динаміки машин"
"7480","Обчислювальна гідроаеромеханіка - КР","Кафедра загальної механіки та динаміки машин"
"7481","Комп'ютерні методи багатоцільової оптимізації","Кафедра загальної механіки та динаміки машин"
"7483","Автоматизоване управління в технологічних системах - КП","секція ""Комп`ютеризовані системи управління"""
"7486","Customer Support Analysis","секція ""Інформаційні технології проектування"""
"7488","Об'ємні гідро-пневмомашини та гідро-пневмопривід","Кафедра прикладної гідроаеромеханіки"
"7489","Об'ємні гідро-пневмомашини та гідро-пневмопривід - КП","Кафедра прикладної гідроаеромеханіки"
"7490","Програмування задач механіки","Кафедра загальної механіки та динаміки машин"
"7491","Основи математичної фізики","Кафедра загальної механіки та динаміки машин"
"7492","САПР гідроприводів","Кафедра прикладної гідроаеромеханіки"
"7493","Комп'ютерна графіка в технологіях машинобудування","Кафедра технології машинобудування, верстатів та інструментів"
"7494","CAD системи в технологіях машинобудування","Кафедра технології машинобудування, верстатів та інструментів"
"7495","Сучасні обчислювальні комплекси","Кафедра загальної механіки та динаміки машин"
"7496","Комп'ютерні технології проектування","Кафедра загальної механіки та динаміки машин"
"7497","3d моделювання","Кафедра загальної механіки та динаміки машин"
"7498","Гідроаеромеханіка","Кафедра загальної механіки та динаміки машин"
"7499","Теорія автоматичного керування та динаміка гідросистем","Кафедра прикладної гідроаеромеханіки"
"7500","ТАУ гідроприводів","Кафедра прикладної гідроаеромеханіки"
"7501","CAE системи технологічних процесів і систем","Кафедра технології машинобудування, верстатів та інструментів"
"7502","Основи конструювання відцентрових машин - КР","Кафедра загальної механіки та динаміки машин"
"7503","Теорія і розрахунки відцентрових машин - КР","Кафедра загальної механіки та динаміки машин"
"7505","Основи наукових досліджень і дослідження компресорних машин","Кафедра технічної теплофізики"
"7516","Динаміка роторних машин - КР","Кафедра загальної механіки та динаміки машин"
"7522","Основи гідравліки та теплообміну","Кафедра процесів та обладнання хімічних і нафтопереробних виробництв"
"7524","Теоретичні основи процесів хімічної інженерії","Кафедра процесів та обладнання хімічних і нафтопереробних виробництв"
"7525","Комп'ютерна графіка в хімічній технології - КР","Кафедра процесів та обладнання хімічних і нафтопереробних виробництв"
